epoch,loss
0,0.040518466383218765
1,0.038725368678569794
2,0.03858410567045212
3,0.03851943090558052
4,0.038473501801490784
5,0.03844067081809044
6,0.03841288387775421
7,0.03837703913450241
8,0.03837374597787857
9,0.03832421079277992
0,0.03835473582148552
1,0.038301073014736176
2,0.038279395550489426
3,0.0382801815867424
4,0.038255225867033005
5,0.03824879601597786
6,0.03823906183242798
7,0.03823016583919525
8,0.03821896016597748
9,0.03822338581085205
0,0.03822331130504608
1,0.038202617317438126
2,0.0382019579410553
3,0.038183242082595825
4,0.03818107768893242
5,0.03817901760339737
6,0.03813710808753967
7,0.038138579577207565
8,0.03813593462109566
9,0.03813394531607628
0,0.038134023547172546
1,0.03813006728887558
2,0.03813236951828003
3,0.03813094273209572
4,0.038128919899463654
5,0.038128383457660675
6,0.03812255337834358
7,0.03812093660235405
8,0.03812636807560921
9,0.03812183439731598
0,0.038121357560157776
1,0.03811870887875557
2,0.038123615086078644
3,0.03812258690595627
4,0.038119569420814514
5,0.03812091425061226
6,0.03812255337834358
7,0.038121920078992844
8,0.03812144696712494
9,0.03812340274453163
