epoch,loss
0,0.05507572367787361
1,0.03969069570302963
2,0.03930298611521721
3,0.03911620005965233
4,0.039016034454107285
5,0.038938008248806
6,0.03887549042701721
7,0.03885345160961151
8,0.03881094604730606
9,0.03878733888268471
0,0.0388953797519207
1,0.0387469045817852
2,0.03872952610254288
3,0.03871886432170868
4,0.03869519382715225
5,0.03867492079734802
6,0.03867637738585472
7,0.03858648240566254
8,0.03858153894543648
9,0.03857974335551262
0,0.03870200738310814
1,0.03864217922091484
2,0.038638483732938766
3,0.03862524777650833
4,0.03861481323838234
5,0.03861131891608238
6,0.03853854537010193
7,0.038533490151166916
8,0.03853243216872215
9,0.038528475910425186
0,0.03852561116218567
1,0.03852541744709015
2,0.038522616028785706
3,0.0385211780667305
4,0.03852086514234543
5,0.03851627930998802
6,0.03851351514458656
7,0.03851152956485748
8,0.03851249814033508
9,0.03850999101996422
0,0.03851234167814255
1,0.03851073607802391
2,0.03851192072033882
3,0.038508277386426926
4,0.03850950673222542
5,0.03851103037595749
6,0.03851139545440674
7,0.03850942850112915
8,0.03850819543004036
9,0.03850764036178589
0,0.03850885480642319
1,0.03851104900240898
2,0.03850872069597244
3,0.03850603476166725
4,0.03851005807518959
5,0.03850864991545677
6,0.038509584963321686
7,0.03850908204913139
8,0.038510002195835114
9,0.03850749507546425
